DateTime,Upload,Download,Server
24-12-2019 12:00:04,5551989,76902658,Darmstadt
24-12-2019 13:00:04,5798578,82841578,Darmstadt
24-12-2019 14:00:04,5708325,92126346,Frankfurt
24-12-2019 15:00:04,5462782,85801030,Darmstadt
24-12-2019 16:00:04,5836334,88400673,Darmstadt
24-12-2019 17:00:04,5766201,85350611,Darmstadt
24-12-2019 18:00:05,5712698,88118763,Darmstadt
24-12-2019 19:00:04,5662934,85010830,Darmstadt
24-12-2019 20:00:04,5511432,52388113,Frankfurt
24-12-2019 21:00:04,5701120,88475041,Darmstadt
24-12-2019 22:00:05,5803874,90967021,Frankfurt
24-12-2019 23:00:04,5671400,85508396,Darmstadt
25-12-2019 00:00:05,5809945,87218984,Darmstadt
25-12-2019 01:00:05,5801905,82615675,Darmstadt
25-12-2019 02:00:04,5801974,72644157,Darmstadt
25-12-2019 03:00:04,5838946,85408287,Darmstadt
25-12-2019 04:00:04,5809863,85324568,Darmstadt
25-12-2019 05:00:04,5737753,86272282,Darmstadt
25-12-2019 06:00:04,5629411,88012027,Darmstadt
25-12-2019 07:00:04,5820291,55306147,Frankfurt
25-12-2019 08:00:04,5599656,82879433,Darmstadt
25-12-2019 09:00:05,5826766,82060765,Frankfurt
25-12-2019 10:00:04,5572616,86263492,Darmstadt
25-12-2019 11:00:04,5770236,84152289,Darmstadt
25-12-2019 12:00:04,5817328,87219094,Darmstadt
25-12-2019 13:00:05,5710441,79155860,Darmstadt
25-12-2019 14:00:04,5801563,79280502,Darmstadt
25-12-2019 15:00:04,5794932,48687580,Darmstadt
25-12-2019 16:00:04,5823921,83056306,Darmstadt
25-12-2019 17:00:04,5826906,89946805,Frankfurt
25-12-2019 18:00:05,5581622,89159601,Darmstadt
25-12-2019 19:00:05,5832716,87347692,Darmstadt
25-12-2019 20:00:04,5826173,87546563,Darmstadt
25-12-2019 21:00:04,5772205,89729873,Darmstadt
25-12-2019 22:00:05,5836848,87352465,Darmstadt
25-12-2019 23:00:05,5727255,88987103,Darmstadt
26-12-2019 00:00:04,5832283,85993412,Darmstadt
26-12-2019 01:00:04,5597397,86521232,Darmstadt
26-12-2019 02:00:04,5768419,84700856,Darmstadt
26-12-2019 03:00:04,5806038,88128324,Darmstadt
26-12-2019 04:00:04,5794055,91518860,Frankfurt
26-12-2019 05:00:04,5760830,85365401,Darmstadt
26-12-2019 06:00:04,5802622,87816289,Darmstadt
26-12-2019 07:00:05,5824918,89396609,Frankfurt
26-12-2019 08:00:04,5826855,84017478,Darmstadt
26-12-2019 09:00:04,5832926,86862839,Darmstadt
26-12-2019 10:00:04,5788955,75426964,Frankfurt
26-12-2019 11:00:04,5811135,86284846,Darmstadt
26-12-2019 12:00:05,5804564,87438310,Darmstadt
26-12-2019 13:00:04,5830174,88212624,Darmstadt
26-12-2019 14:00:04,5818042,86761771,Darmstadt
26-12-2019 15:00:04,5806113,84654641,Darmstadt
26-12-2019 16:00:05,5649112,87802097,Darmstadt
26-12-2019 17:00:04,5832667,89442650,Frankfurt
26-12-2019 18:00:05,5415021,88298462,Darmstadt
26-12-2019 19:00:04,5666013,89429573,Darmstadt
26-12-2019 20:00:04,5687109,89333832,Darmstadt
26-12-2019 21:00:05,5642870,90659164,Darmstadt
26-12-2019 22:00:04,5726673,85384021,Darmstadt
26-12-2019 23:00:04,5781841,86516000,Darmstadt
27-12-2019 00:00:04,5811513,87443024,Darmstadt
27-12-2019 01:00:05,5841077,87970032,Darmstadt
27-12-2019 02:00:04,5831535,85417345,Darmstadt
27-12-2019 03:00:04,5817264,88129066,Darmstadt
27-12-2019 04:00:04,5827563,90804545,Frankfurt
27-12-2019 05:00:05,5608418,87670351,Darmstadt
27-12-2019 06:00:04,5784416,90619984,Frankfurt
27-12-2019 07:00:05,5559704,84529939,Darmstadt
27-12-2019 08:00:04,5546301,89811040,Darmstadt
27-12-2019 09:00:04,5798982,89122111,Darmstadt
27-12-2019 10:00:04,5758879,85428113,Darmstadt
27-12-2019 11:00:04,5752814,88068169,Darmstadt
27-12-2019 12:00:04,5642225,82100025,Darmstadt
27-12-2019 13:00:04,5676192,80264609,Darmstadt
27-12-2019 14:00:05,5731411,53411584,Frankfurt
